,concept_id,concept_name,hierarchy
330,497006,"Replacement of cochlear prosthesis, multiple channels (procedure)",procedure
335,504009,Androgen-dependent hirsutism (disorder),disorder
341,511008,Fibrous meningioma (morphologic abnormality),morphologic abnormality
344,517007,Foreign body in hypopharynx (disorder),disorder
345,518002,Multiple aggregation (finding),finding
347,520004,Congenital bent nose (disorder),disorder
352,527001,"Spontaneous fetal evolution, Roederer's method (finding)",finding
353,528006,Structure of costal surface of lung (body structure),body structure
355,531007,Open pulmonary valve commissurotomy with inflow occlusion (procedure),procedure
356,533005,Closure of vesicocolic fistula (procedure),procedure
358,535003,Closure of ureterovesicovaginal fistula (procedure),procedure
359,536002,Glissonian cirrhosis (disorder),disorder
362,539009,Conjunctival argyrosis (disorder),disorder
363,540006,Antibody to single and double stranded deoxyribonucleic acid measurement (procedure),procedure
365,543008,Choledochostomy with transduodenal sphincteroplasty (procedure),procedure
367,545001,Operative procedure on lower leg (procedure),procedure
369,547009,Hypersecretion of calcitonin (disorder),disorder
370,548004,13p partial trisomy syndrome (disorder),disorder
371,549007,Incision of intracranial vein (procedure),procedure
372,550007,Excision of lesion of adenoids (procedure),procedure
374,552004,Entire vagus nerve parasympathetic fibers to cardiac plexus (body structure),body structure
375,554003,2p partial trisomy syndrome (disorder),disorder
376,555002,Poisoning caused by Dicentra (disorder),disorder
378,559008,Excision of varicose vein (procedure),procedure
380,563001,Nystagmus (disorder),disorder
382,565008,Structure of intervertebral disc space of fifth lumbar vertebra (body structure),body structure
385,568005,Tic disorder (disorder),disorder
388,574005,Benzodiazepine measurement (procedure),procedure
389,575006,Cholesteatoma (morphologic abnormality),morphologic abnormality
394,582005,Structure of head of phalanx of great toe (body structure),body structure
397,586008,Contact dermatitis caused by Primula obconica (disorder),disorder
398,587004,Structure of capsule of proximal interphalangeal joint of third toe (body structure),body structure
400,589001,Interventricular septum structure (body structure),body structure
401,590005,Congenital aneurysm of anterior communicating artery (disorder),disorder
407,595000,Structure of palpebral fissure (body structure),body structure
408,596004,Premenstrual dysphoric disorder (disorder),disorder
411,599006,Chronic pneumothorax (disorder),disorder
412,600009,Pyromania (disorder),disorder
415,605004,Severe inflammatory atypia (morphologic abnormality),morphologic abnormality
416,607007,Decreased vital capacity (finding),finding
417,608002,Subcutaneous tissue structure of philtrum (body structure),body structure
419,610000,Spastic aphonia (disorder),disorder
422,613003,Fragile X syndrome (disorder),disorder
424,615005,Obstruction due to foreign body accidentally left in operative wound AND/OR body cavity during a procedure (disorder),disorder
425,616006,Sensorimotor disorder of eyelid (disorder),disorder
426,617002,Bone graft to mandible (procedure),procedure
427,618007,Frontal sinusectomy (procedure),procedure
429,621009,"Multivesicular body, internal vesicles (cell structure)",cell structure
432,625000,Removal of supernumerary digit (procedure),procedure
433,626004,Hypercortisolism due to nonpituitary tumor (disorder),disorder
435,628003,Steinman test (procedure),procedure
436,629006,Lysis of adhesions of urethra (procedure),procedure
437,631002,Transfusion reaction due to minor incompatibility (disorder),disorder
438,633004,Chart review by physician (procedure),procedure
439,635006,Structure of tuberosity of distal phalanx of little toe (body structure),body structure
441,637003,Lysis of adhesions of nose (procedure),procedure
443,640003,Injury of pneumogastric nerve (disorder),disorder
445,642006,Cerebral thermography (procedure),procedure
446,643001,Hypertrophy of lip (disorder),disorder
448,646009,Idiopathic cyst of anterior chamber of eye (disorder),disorder
449,647000,Excision of cervix by conization using electrical energy (procedure),procedure
451,649002,Open fracture of distal end of ulna (disorder),disorder
452,650002,Structure of superior articular process of seventh thoracic vertebra (body structure),body structure
453,651003,Root work (disorder),disorder
454,652005,Gangrenous tonsillitis (disorder),disorder
457,655007,Abnormal fetal heart beat noted before labor in liveborn infant (disorder),disorder
459,657004,Operation on bursa (procedure),procedure
460,658009,Injury of colon without open wound into abdominal cavity (disorder),disorder
461,660006,Structure of tracheal mucous membrane (body structure),body structure
462,661005,Jaw region structure (body structure),body structure
464,664002,Delayed ovulation (finding),finding
465,665001,Partial meniscectomy of temporomandibular joint (procedure),procedure
466,667009,Embryonic structure (body structure),body structure
468,670008,Electrosurgical epilation of eyebrow (procedure),procedure
469,671007,Transplantation of testis (procedure),procedure
470,673005,Indirect laryngoscopy (procedure),procedure
471,674004,Abduction test of knee (procedure),procedure
472,675003,Torsion of intestine (disorder),disorder
473,676002,Peritoneal dialysis including cannulation (procedure),procedure
477,680007,Radiation physics consultation (procedure),procedure
481,687005,Albumin/Globulin ratio (procedure),procedure
482,688000,Structure of fetal hyaloid artery (body structure),body structure
484,691000,Structure of small intestine submucosa (body structure),body structure
485,692007,Structure of body of ischium (body structure),body structure
487,695009,Destructive procedure of lesion on skin of trunk (procedure),procedure
488,697001,Hepatitis A virus antibody measurement (procedure),procedure
491,701003,Adult osteochondritis of spine (disorder),disorder
492,703000,Congenital adhesions of tongue (disorder),disorder
499,710006,Thromboendarterectomy with graft of mesenteric artery (procedure),procedure
501,712003,Closed chest suction (procedure),procedure
502,714002,Abrasion and/or friction burn of toe with infection (disorder),disorder
