,concept_id,concept_name,hierarchy
147169,255062004,Neoplasm of uncertain behavior of internal part of mouth (disorder),disorder
147170,255064003,Neoplasm of uncertain behavior of biliary system (disorder),disorder
147172,255066001,Carcinoma of genitourinary organ (disorder),disorder
147173,255067005,Sarcoma of bone and connective tissue (disorder),disorder
147174,255068000,"Carcinoma of bone, connective tissue, skin and breast (disorder)",disorder
147175,255069008,"Carcinoma of lip, oral cavity and/or pharynx (disorder)",disorder
147176,255070009,Overlapping malignant neoplasm of oral cavity and lip and salivary gland (disorder),disorder
147177,255071008,Squamous cell carcinoma of lip (disorder),disorder
147178,255072001,Malignant neoplasm of salivary gland (disorder),disorder
147179,255073006,"Malignant neoplasm of ear, nose, and/or throat (disorder)",disorder
147180,255074000,Malignant neoplasm of nasal cavity and nasopharynx (disorder),disorder
147181,255075004,Malignant neoplasm of lateral nasal wall (disorder),disorder
147182,255077007,Malignant neoplasm of digestive organ (disorder),disorder
147183,255081007,Carcinoma of cecum (disorder),disorder
147184,255084004,Squamous cell carcinoma of anal margin (disorder),disorder
147185,255086002,Carcinoma common bile duct (disorder),disorder
147186,255087006,Malignant polyp of biliary tract (disorder),disorder
147187,255088001,Malignant neoplasm of exocrine pancreas (disorder),disorder
147188,255090000,Malignant neoplasm of carpal bones (disorder),disorder
147189,255091001,Malignant neoplasm of metacarpal bones (disorder),disorder
147190,255093003,Malignant neoplasm of skin with adnexal differentiation (disorder),disorder
147191,255096006,Malignant neoplasm of dermis (disorder),disorder
147192,255106001,Teratoma of testis (disorder),disorder
147193,255107005,Seminoma of testis (disorder),disorder
147194,255108000,Carcinoma of urinary bladder (disorder),disorder
147195,255109008,Transitional cell carcinoma of urinary bladder (disorder),disorder
147196,255110003,Adenocarcinoma of urinary bladder (disorder),disorder
147197,255111004,Squamous cell carcinoma of urinary bladder (disorder),disorder
147198,255112006,Malignant neoplasm of pituitary and hypothalamus (disorder),disorder
147199,255114007,Kaposi's sarcoma of conjunctiva (disorder),disorder
147200,255115008,Kaposi's sarcoma of cornea (disorder),disorder
147201,255118005,Metastatic lymphangitic carcinoma (disorder),disorder
147202,255119002,Lymphangitis carcinomatosa (disorder),disorder
147203,255121007,Carcinomatosis of peritoneal cavity (disorder),disorder
147204,255123005,Metastasis to nervous system and eye (disorder),disorder
147205,255124004,Metastasis to peripheral nerve (disorder),disorder
147206,255125003,Entire plica palmata (body structure),body structure
147207,255127006,Local tumor spread (disorder),disorder
147208,255128001,Malignant infiltration of peripheral nerve (disorder),disorder
147209,255129009,Malignant infiltration of peripheral nerve plexus (disorder),disorder
147210,255131000,"Carcinoma in situ of oral cavity, lips, salivary glands (disorder)",disorder
147211,255136005,Carcinoma in situ of upper labial mucosa (disorder),disorder
147212,255137001,Carcinoma in situ of lower labial mucosa (disorder),disorder
147213,255138006,"Carcinoma in situ of ear, nose and throat (disorder)",disorder
147214,255139003,Carcinoma in situ of middle ear and mastoid (disorder),disorder
147215,255140001,Carcinoma in situ of nasal cavity and nasopharynx (disorder),disorder
147216,255142009,Carcinoma in situ of respiratory and intrathoracic organ (disorder),disorder
147217,255143004,Anal intraepithelial neoplasia (disorder),disorder
147218,255144005,Carcinoma in situ of ear (disorder),disorder
147219,255145006,Carcinoma in situ of surface epithelium (disorder),disorder
147220,255148008,Penile intraepithelial neoplasia (disorder),disorder
147221,255149000,Carcinoma in situ of prostatic ducts (disorder),disorder
147222,255150000,Carcinoma in situ of urinary tract proper (disorder),disorder
147223,255153003,Benign neoplasm of mucous membrane of lower lip (disorder),disorder
147224,255154009,Benign neoplasm of salivary gland (disorder),disorder
147225,255155005,Pleomorphic adenoma of parotid gland (disorder),disorder
147226,255156006,"Benign neoplasm of ear, nose, and/or throat (disorder)",disorder
147227,255157002,Benign neoplasm of middle ear and mastoid (disorder),disorder
147228,255158007,Benign neoplasm of nasal cavity and nasopharynx (disorder),disorder
147229,255159004,Benign neoplasm of lateral nasal wall (disorder),disorder
147230,255163006,Benign papilloma of larynx (disorder),disorder
147231,255166003,Benign neoplasm of respiratory system (disorder),disorder
147232,255167007,Benign neoplasm of digestive organ (disorder),disorder
147233,255168002,"Benign neoplasm of esophagus, stomach and/or duodenum (disorder)",disorder
147234,255169005,Benign esophageal polyp (disorder),disorder
147235,255171005,Jejunal polyp (disorder),disorder
147236,255172003,Benign neoplasm of ileocecal valve (disorder),disorder
147237,255173008,Benign papilloma of rectum (disorder),disorder
147238,255174002,Benign polyp of biliary tract (disorder),disorder
147239,255175001,Papilloma of ampulla of Vater (disorder),disorder
147240,255177009,Benign neoplasm of face bone (disorder),disorder
147241,255178004,Benign neoplasm of bone structure of spine (disorder),disorder
147242,255180005,Benign neoplasm of bone of foot (disorder),disorder
147243,255181009,Benign neoplasm of ear (disorder),disorder
147244,255184001,Papilloma of skin (disorder),disorder
147245,255185000,Benign tumor of skin with sebaceous differentiation (disorder),disorder
147246,255186004,Benign neoplasm of dermis (disorder),disorder
147247,255187008,Lipoma of skin (disorder),disorder
147248,255188003,Angiomyoma of skin (disorder),disorder
147249,255190002,Ulcero - mutilating hemangiomatosis (disorder),disorder
147250,255191003,Localized malignant reticulohistiocytoma (disorder),disorder
147251,255192005,Benign cephalic histiocytosis (disorder),disorder
147252,255193000,Entire endocervical connective tissue (body structure),body structure
147253,255195007,Benign neoplasm of soft tissue of head and/or neck (disorder),disorder
147254,255196008,Adenomatous polyp of cervix uteri (disorder),disorder
147255,255200003,Benign neoplasm of hypothalamus (disorder),disorder
147275,255225007,Overgrowth of filiform papillae (disorder),disorder
147279,255229001,Endoscopy of pancreas (procedure),procedure
147305,255256004,Repair of elbow (procedure),procedure
147317,255268008,Entire exocervical epithelial cell (body structure),body structure
147336,255291007,Plaque-like (morphologic abnormality),morphologic abnormality
147361,255316004,Purulent (morphologic abnormality),morphologic abnormality
147362,255317008,Middle third open ureterolithotomy (procedure),procedure
147365,255320000,Infection - suppurative (disorder),disorder
147378,255336003,Entire exocervical connective tissue (body structure),body structure
147449,255413006,Entire decidua parietalis (body structure),body structure
147452,255416003,Entire capillary blood vessel (body structure),body structure
147485,255449007,Localized degeneration (morphologic abnormality),morphologic abnormality
147516,255483000,Erosive balanitis (disorder),disorder
147531,255498003,Entire decidua capsularis (body structure),body structure
147555,255522009,Neuromyopathy (disorder),disorder
147601,255571004,Structure of Little's area (body structure),body structure
147602,255574007,Entire coiled artery of decidua basalis (body structure),body structure
147603,255576009,Telling untruths (finding),finding
147655,255651000,Entire marginal venous sinus of placental attachment (body structure),body structure
147663,255682001,Cutting of trigeminal nerve (procedure),procedure
147688,255719009,Entire Nitabuch's layer (body structure),body structure
147728,255782009,Entire fetal uterus (body structure),body structure
147756,255812008,Canaloplasty of external auditory meatus (procedure),procedure
147787,255851003,Entire collecting vein of border of placental attachment (body structure),body structure
147867,255944006,Entire uterine part of placenta (body structure),body structure
147897,255992006,Nasogastric irrigation (procedure),procedure
147922,256023002,Neuroplasty and transposition of ulnar nerve at elbow (procedure),procedure
147932,256034004,Entire fetal part of placenta (body structure),body structure
147977,256095000,Upper third open ureterolithotomy (procedure),procedure
147993,256119008,Entire immature chorionic villi (body structure),body structure
148077,256212006,Entire mature chorionic villi (body structure),body structure
148149,256296008,Entire mesenchymal villous core (body structure),body structure
148168,256321009,Disorder of neuromuscular transmission (disorder),disorder
148217,256391000,Entire chorionic plate (body structure),body structure
148248,256423008,Structure of hair of skin region (body structure),body structure
148259,256446005,Skin structure xenograft (body structure),body structure
148299,256491001,Entire placental cotyledon (body structure),body structure
148348,256541003,Division of trigeminal nerve at foramen ovale (procedure),procedure
148383,256591004,Entire placental membrane (body structure),body structure
148434,256647008,Autogenous cancellous bone graft (procedure),procedure
148435,256648003,Autogenous corticocancellous bone graft (procedure),procedure
148436,256649006,Autogenous cortical bone graft (procedure),procedure
148437,256650006,Autogenous bone strut (procedure),procedure
148438,256651005,Autogenous vascularized bone graft (procedure),procedure
148446,256661003,Entire pectineal ligament (body structure),body structure
148447,256662005,Structure of anterior rectus sheath (body structure),body structure
148448,256663000,Entire fascia of rectus abdominis muscle (body structure),body structure
148449,256664006,Structure of external oblique aponeurosis (body structure),body structure
148451,256667004,Entire tendon (body structure),body structure
148455,256671001,Entire abductor pollicis longus muscle (body structure),body structure
148456,256672008,Entire rectus abdominis muscle (body structure),body structure
148461,256680001,Entire vitelline blood vessel of placenta (body structure),body structure
148463,256682009,Entire buccal mucosa (body structure),body structure
148486,256736009,Tripier flap (body structure),body structure
148508,256779006,Structure of vitelline artery of placenta (body structure),body structure
148546,256864008,Entire nerve (body structure),body structure
148555,256874006,Intestinal pouch (morphologic abnormality),morphologic abnormality
148556,256875007,Structure of vitelline vein of placenta (body structure),body structure
148557,256876008,Entire intestine (body structure),body structure
148561,256880003,Entire periurethral tissue (body structure),body structure
148572,256893008,Entire hair of pubis (body structure),body structure
148598,256924005,Entire beard (body structure),body structure
148599,256925006,Structure of hair of mustache (body structure),body structure
148638,256965005,Entire syncytial trophoblast (body structure),body structure
148714,257041001,Spatulated ureteroureterostomy (procedure),procedure
148840,257169006,Entire placenta and membrane (body structure),body structure
148912,257242002,Aldosteronism due to neoplasm of the adrenal cortex (disorder),disorder
148922,257252003,Entire intervillous space (body structure),body structure
148943,257277002,Combined disorder of muscle AND peripheral nerve (disorder),disorder
149004,257341007,Entire chorion frondosum (body structure),body structure
149070,257421001,Entire placental fetal surface (body structure),body structure
149117,257472005,aVF (body structure),body structure
149118,257473000,aVL (body structure),body structure
149119,257474006,aVR (body structure),body structure
149120,257475007,Lead site V1 (body structure),body structure
149121,257476008,Lead site V2 (body structure),body structure
149122,257477004,Lead site V3 (body structure),body structure
149123,257478009,Lead site V4 (body structure),body structure
149124,257479001,Lead site V5 (body structure),body structure
149125,257480003,Lead site V6 (body structure),body structure
149156,257515002,Entire placental maternal surface (body structure),body structure
149212,257587002,Entire placental site (body structure),body structure
149300,257682002,Entire chorion laeve (body structure),body structure
149359,257753009,Flexion angulation (finding),finding
149360,257754003,Extension angulation (finding),finding
149361,257755002,Valgus angulation (finding),finding
149362,257756001,Varus angulation (finding),finding
149363,257757005,Application of hemoclips (procedure),procedure
149364,257758000,Local application of hemostyptics (procedure),procedure
149366,257761004,Ultrasonic endarterectomy (procedure),procedure
149367,257762006,Mechanical endarterectomy (procedure),procedure
149368,257763001,Radiofrequency endarterectomy (procedure),procedure
149369,257765008,Low speed rotational atherectomy (procedure),procedure
149370,257766009,High speed rotational atherectomy (procedure),procedure
149372,257769002,Spiral binding (procedure),procedure
149375,257773004,Entire subchorionic space (body structure),body structure
149382,257787004,Custom fitting (procedure),procedure
149392,257812009,Chronic peri-aortitis (disorder),disorder
149398,257828004,Percutaneous fixation of bone (procedure),procedure
149399,257829007,Percutaneous fixation using Kirschner wire (procedure),procedure
149400,257830002,Percutaneous fixation using screw (procedure),procedure
149401,257831003,Internal fixation using Kirschner wire (procedure),procedure
149402,257832005,Internal fixation of bone using tension band (procedure),procedure
149403,257833000,Internal fixation using staple (procedure),procedure
149404,257834006,Internal fixation using screw (procedure),procedure
149405,257835007,Internal fixation using plate (procedure),procedure
149406,257836008,Internal fixation using intramedullary nail (procedure),procedure
149407,257838009,External fixation of bone (procedure),procedure
149408,257839001,External fixation using unilateral bar (procedure),procedure
149409,257840004,External fixation using static unilateral bar (procedure),procedure
149410,257841000,External fixation using dynamic unilateral bar (procedure),procedure
149411,257842007,External fixation using bilateral bars (procedure),procedure
149412,257843002,External fixation using bilateral bars with cross-linkage (procedure),procedure
149413,257844008,External fixation using circumferential rings (procedure),procedure
149414,257847001,Arthroscopy of shoulder with partial synovectomy (procedure),procedure
149417,257858005,Heater probe treatment (procedure),procedure
149418,257860007,Entire exocelomic cavity (body structure),body structure
149419,257861006,Hook elevation of zygomatic fracture (procedure),procedure
149421,257865002,Cyanoacrylic injection (procedure),procedure
149422,257866001,Intracardiac potassium chloride injection (procedure),procedure
149432,257881007,Pre-biopsy localization of breast lesion using spot method (procedure),procedure
149433,257882000,Pre-biopsy localization of breast lesion using double dye method (procedure),procedure
149434,257883005,Lubrication (procedure),procedure
149439,257891001,Photodynamic therapy (procedure),procedure
149444,257898007,Realignment posterior urethra over catheter (procedure),procedure
149445,257899004,Realignment and suture of posterior urethra (procedure),procedure
149446,257900009,Realignment of posterior urethra with fixation of prostate or bladder neck (procedure),procedure
149447,257901008,Gillies reduction of zygomatic fracture (procedure),procedure
149449,257904000,Open repair of zygomatic fracture (procedure),procedure
149450,257909005,Repair of congenital diaphragmatic hernia using muscle flap (procedure),procedure
149458,257925000,Bronchoscopic sampling of secretions using trap (procedure),procedure
149460,257930001,Soft tissue slinging (procedure),procedure
149465,257941004,Repair of peripheral nerve by tubulation (procedure),procedure
149466,257943001,Entire corpus luteum of ovary (body structure),body structure
149467,257946009,Single Kirschner wiring of fracture (procedure),procedure
149468,257947000,Multiple Kirschner wiring of fracture (procedure),procedure
149469,257948005,Cerclage wiring of fracture (procedure),procedure
149470,257949002,Internal fixation of fracture using tension band wire (procedure),procedure
149474,257954006,Conversion from prosthetic arthroplasty (procedure),procedure
149475,257955007,Conversion from pseudoarthroplasty (procedure),procedure
149476,257956008,Conversion from excision arthroplasty (procedure),procedure
149477,257957004,Conversion from interposition arthroplasty (procedure),procedure
149536,258029006,Finger plethysmography (procedure),procedure
149539,258032009,Persistent branchial cleft (morphologic abnormality),morphologic abnormality
149550,258043001,Entire corpus albicans of ovary (body structure),body structure
149563,258058009,Open spirometry (procedure),procedure
149576,258073005,Rose-Waaler assay (procedure),procedure
149607,258108004,Recorded voice (finding),finding
149614,258116008,Speech babble (finding),finding
149615,258117004,Idiopathic aldosteronism (disorder),disorder
149626,258130003,Soothing voice (finding),finding
149628,258132006,Entire corpus fibrosum of ovary (body structure),body structure
149637,258142008,Own name spoken (finding),finding
149642,258149004,Swallowing finding (finding),finding
149661,258172002,Stereotactic mammography (procedure),procedure
149663,258174001,Imaging guidance procedure (procedure),procedure
149664,258176004,Computed tomography guidance (procedure),procedure
149665,258177008,Magnetic resonance imaging guidance (procedure),procedure
149704,258222009,Entire hilum of ovary (body structure),body structure
149717,258245003,G4 grade (finding),finding
149721,258249009,Scleral stage SX (finding),finding
149722,258250009,Scleral stage S0 (finding),finding
149723,258251008,Scleral stage S1 (finding),finding
149724,258252001,Scleral stage S2 (finding),finding
149734,258264009,Tumor of minimal extent (finding),finding
149735,258265005,Tumor of moderate extent (finding),finding
149736,258266006,Tumor of advanced extent (finding),finding
149762,258308007,Entire germinal epithelium of ovary (body structure),body structure
149784,258331007,Anatomical site notations for tumor staging (body structure),body structure
149785,258332000,PUL (body structure),body structure
149786,258333005,OSS (body structure),body structure
149787,258334004,HEP (body structure),body structure
149788,258335003,Entire brain (body structure),body structure
149789,258336002,LYM (body structure),body structure
149790,258337006,PLE (body structure),body structure
149791,258338001,PER (body structure),body structure
149792,258339009,ADR (body structure),body structure
149793,258340006,SKI (body structure),body structure
149794,258341005,CER (body structure),body structure
149795,258342003,THO (body structure),body structure
149796,258343008,ABD (body structure),body structure
149797,258344002,PEL (body structure),body structure
149798,258345001,ORB (body structure),body structure
149799,258346000,HEA (body structure),body structure
149800,258347009,LIM (body structure),body structure
149801,258348004,OTH (body structure),body structure
149811,258359008,Shaving of corneal epithelium (procedure),procedure
149860,258409003,Entire tunica albuginea of ovary (body structure),body structure
149927,258491008,Entire capsule of ovary (body structure),body structure
150011,258586009,Entire cumulus oophorus (body structure),body structure
150079,258665002,Entire primary ovarian follicle (body structure),body structure
150163,258754001,Arthroscopy of wrist (procedure),procedure
150175,258767003,Entire tunica externa of theca folliculi (body structure),body structure
150251,258843000,Cohen reimplantation of ureter (procedure),procedure
150277,258869006,Entire tunica interna of theca folliculi (body structure),body structure
150377,258971005,Entire stratum granulosum of ovarian follicle (body structure),body structure
150460,259058004,Acquired megacolon in child (disorder),disorder
150475,259073003,Entire atretic follicle of ovary (body structure),body structure
150492,259096003,Scalp pH measurement (procedure),procedure
150493,259097007,Delayed photoallergic dermatitis (disorder),disorder
150594,259222004,Scraping of corneal epithelium (procedure),procedure
150626,259261007,Entire rete ovarii (body structure),body structure
150660,259306002,Entire interstitial tissue of ovary (body structure),body structure
150674,259324000,Ligation of fallopian tube with crushing (procedure),procedure
150685,259343000,Structure of left ovarian vein (body structure),body structure
150702,259368003,Structure of right ovarian vein (body structure),body structure
150742,259422002,Entire uterine tubal epithelium (body structure),body structure
150775,259469007,Intravesical reimplantation of ureter (procedure),procedure
150788,259488000,Entire uterine tubal muscularis (body structure),body structure
150826,259539003,Entire uterine tubal subserosa (body structure),body structure
150864,259583007,Idiopathic megacolon in child (disorder),disorder
150870,259593000,Entire uterine tubal serosa (body structure),body structure
150910,259642001,Entire uterine tubal plicae (body structure),body structure
150919,259654001,Total reducing substances measurement (procedure),procedure
150932,259678006,Red blood cell stroma (cell structure),cell structure
150933,259679003,Ringed sideroblast (finding),finding
150934,259680000,Neocyte (finding),finding
150939,259687002,Entire transverse fold of rectum (body structure),body structure
150941,259693005,Hemoglobin Barts measurement (procedure),procedure
150942,259694004,Hemoglobin H measurement (procedure),procedure
150944,259696002,Hemoglobin Constant Spring measurement (procedure),procedure
150950,259713004,Neutrophil inclusion (cell structure),cell structure
150951,259714005,Toxic granulation (finding),finding
150952,259715006,Döhle body (finding),finding
150954,259718008,Mechanical removal of corneal epithelium (procedure),procedure
150967,259740004,Entire rectal lumen (body structure),body structure
150981,259763009,Entire perirectal tissue (body structure),body structure
150986,259771008,Obliteration of cerebrospinal fistula (procedure),procedure
151007,259797002,Entire supporting tissue of rectum (body structure),body structure
151009,259799004,Total immunoglobulin level (finding),finding
151054,259850007,Entire superior fascia of pelvic diaphragm (body structure),body structure
151062,259863001,Removal of Shirodkar cerclage from cervix (procedure),procedure
151083,259890005,Entire inferior fascia of pelvic diaphragm (body structure),body structure
151123,259939005,Nonobstetrical insertion of pack into vagina (procedure),procedure
151126,259945002,Entire prostatic fascia (body structure),body structure
151149,259971003,Inflammatory perforation (morphologic abnormality),morphologic abnormality
151156,259982006,Entire parietal fascia of pelvis (body structure),body structure
151199,260030003,Daltonism (disorder),disorder
151207,260038005,Entire visceral fascia of pelvis (body structure),body structure
151215,260046006,Dry skin dermatitis (disorder),disorder
151262,260101007,Entire gastropancreatic folds (body structure),body structure
151331,260181005,Disease caused by Eimeria (disorder),disorder
151336,260187009,Entire superior duodenal fold (body structure),body structure
151367,260226009,Protein-rich meal (finding),finding
151370,260229002,Standard meal (finding),finding
151373,260233009,Combination of positions (finding),finding
151376,260239008,Live voice (finding),finding
151382,260246004,Visual acuity finding (finding),finding
151383,260247008,Near vision finding (finding),finding
151384,260248003,Jaeger type 1 (finding),finding
151385,260249006,Jaeger type 10 (finding),finding
151386,260250006,Jaeger type 12 (finding),finding
151387,260251005,Jaeger type 14 (finding),finding
151388,260252003,Jaeger type 2 (finding),finding
151389,260253008,Jaeger type 4 (finding),finding
151390,260254002,Jaeger type 6 (finding),finding
151391,260255001,Jaeger type 8 (finding),finding
151392,260257009,N10 (finding),finding
151393,260258004,N12 (finding),finding
151394,260259007,N14 (finding),finding
151395,260260002,N18 (finding),finding
151396,260261003,N24 (finding),finding
151397,260262005,N36 (finding),finding
151398,260263000,N4.5 (finding),finding
151399,260264006,Entire inferior duodenal fold (body structure),body structure
151400,260265007,N48 (finding),finding
151401,260266008,N5 (finding),finding
151402,260267004,N6 (finding),finding
151403,260268009,N8 (finding),finding
151404,260269001,Distance vision finding (finding),finding
151405,260270000,Distance vision 6/4 (finding),finding
151406,260271001,Distance vision 6/5 (finding),finding
151407,260272008,Distance vision 6/6 (finding),finding
151408,260273003,Distance vision 6/9 (finding),finding
151409,260274009,Distance vision 6/12 (finding),finding
151410,260275005,Distance vision 6/18 (finding),finding
151411,260276006,Distance vision 6/24 (finding),finding
151412,260277002,Distance vision 6/36 (finding),finding
151413,260278007,Distance vision 6/60 (finding),finding
151414,260279004,Distance vision 3/4 (finding),finding
151416,260281002,Distance vision 3/6 (finding),finding
151417,260282009,Distance vision 3/9 (finding),finding
151418,260283004,Distance vision 3/12 (finding),finding
151419,260284005,Distance vision 3/18 (finding),finding
151420,260285006,Distance vision 3/24 (finding),finding
151421,260286007,Distance vision 3/36 (finding),finding
151422,260287003,Distance vision 3/60 (finding),finding
151423,260288008,Distance vision 1/24 (finding),finding
151424,260289000,Distance vision 1/36 (finding),finding
151425,260290009,Distance vision 1/60 (finding),finding
151426,260292001,Distance vision - counts fingers - 1 meter (finding),finding
151427,260293006,Distance vision - counts fingers - 1/2 meter (finding),finding
151428,260294000,Distance vision - counts fingers - 1/3 meter (finding),finding
151429,260295004,Sees hand movements (finding),finding
151430,260296003,Perceives light only (finding),finding
151431,260297007,Perception of light - accurate projection (finding),finding
151432,260298002,Perception of light - inaccurate projection (finding),finding
151483,260363003,Entire paraduodenal fold (body structure),body structure
151516,260397005,Closure of fistula of cerebrospinal fluid (procedure),procedure
151563,260449008,Entire duodenal fold (body structure),body structure
151614,260515002,Midaxillary line (body structure),body structure
151615,260516001,Midscapular line (body structure),body structure
151631,260539007,Entire gastrocolic ligament (body structure),body structure
151664,260584009,Mediastinoscopy without biopsy (procedure),procedure
151692,260616009,Entire infratemporal fossa (body structure),body structure
151711,260636005,Entire gastrosplenic ligament (body structure),body structure
151718,260643004,Middle cranial fossa craniectomy (procedure),procedure
151719,260644005,Posterior cranial fossa craniectomy (procedure),procedure
151720,260645006,Minilaparotomy (procedure),procedure
151721,260647003,Total laminectomy (procedure),procedure
151722,260648008,Hemilaminectomy (procedure),procedure
151723,260649000,Lumbar microdiscectomy (procedure),procedure
151724,260651001,Superior cordotomy (procedure),procedure
151725,260652008,Incision of bilateral flanks (procedure),procedure
151726,260653003,Circumareolar incision (procedure),procedure
151727,260654009,Subareolar incision (procedure),procedure
151728,260655005,Submammary incision (procedure),procedure
151729,260656006,Cervical collar incision (procedure),procedure
151730,260657002,Cervical collar incision with sternotomy extension (procedure),procedure
151731,260659004,Partial sternotomy (procedure),procedure
151732,260660009,Total sternotomy (procedure),procedure
151733,260662001,Laryngectomy incision (procedure),procedure
151734,260663006,Laryngofissure (procedure),procedure
151760,260700000,Methylene blue tubal test (procedure),procedure
151771,260712001,Reinforcement of bronchial anastomosis (procedure),procedure
151784,260725009,Entire gastrophrenic ligament (body structure),body structure
151881,260825001,Entire gastrohepatic ligament (body structure),body structure
151985,260927008,Entire phrenicocolic ligament (body structure),body structure
152071,261022006,Entire phrenicosplenic ligament (body structure),body structure
152077,261030007,End colostomy - stoma (morphologic abnormality),morphologic abnormality
152091,261047008,Anterior mediastinotomy (procedure),procedure
152092,261048003,Entire anterior mediastinum (body structure),body structure
152093,261050006,Entire anterior leaflet of tricuspid valve (body structure),body structure
152095,261053008,Structure of appendicular region (body structure),body structure
152100,261060002,Entire body surface region (body structure),body structure
152101,261063000,Structure of buccal space (body structure),body structure
152109,261072008,Double-barrelled colostomy (morphologic abnormality),morphologic abnormality
152117,261082009,Structure of floor of coronary sinus (body structure),body structure
152119,261084005,Structure of frontal extradural space (body structure),body structure
152124,261090009,Entire posterior leaflet of tricuspid valve (body structure),body structure
152125,261091008,Structure of inferodorsal intracapsular fat pad (body structure),body structure
152126,261092001,Entire inframammary region (body structure),body structure
152130,261098002,Entire cerebral portion of internal carotid artery (body structure),body structure
152145,261116000,Entire lateral umbilical fold (body structure),body structure
152149,261120001,Lateral side-to-side pouch (morphologic abnormality),morphologic abnormality
152152,261124005,Structure of lumbar subarachnoid space (body structure),body structure
152153,261125006,Structure of lumbar subdural space (body structure),body structure
152166,261140008,Structure of occipital extradural space (body structure),body structure
152173,261151008,Structure of parietal extradural space (body structure),body structure
152174,261153006,Entire pectoral region (body structure),body structure
152184,261167002,Structure of posteroseptal accessory pathway (body structure),body structure
152185,261168007,Structure of posterolateral chest wall (body structure),body structure
152186,261169004,Posterolateral thoracotomy (procedure),procedure
152187,261170003,Structure of posteromedial right atrial pathway (body structure),body structure
152192,261177000,Structure of temporal extradural space (body structure),body structure
152198,261187001,Structure of vesicoureteric junction (body structure),body structure
152203,261195002,Circulatory arrest (disorder),disorder
152217,261211003,Entire root of mesentery (body structure),body structure
152239,261240000,Arterial graft (morphologic abnormality),morphologic abnormality
152270,261286003,Entire jejunal mesentery (body structure),body structure
152319,261346008,Entire ileal mesentery (body structure),body structure
152356,261399002,Entire descending aorta (body structure),body structure
152357,261400009,Structure of epigastric artery (body structure),body structure
152358,261401008,Structure of gastroepiploic artery (body structure),body structure
152359,261402001,Structure of left internal thoracic artery (body structure),body structure
152360,261403006,Structure of right internal thoracic artery (body structure),body structure
152361,261404000,Entire umbilical artery (body structure),body structure
152362,261405004,Entire atrium (body structure),body structure
152363,261406003,Structure of atrioventricular node-His junction (body structure),body structure
152364,261407007,Band of Ladd (disorder),disorder
152365,261408002,Structure of cecal mesentery (body structure),body structure
152366,261409005,Direct anal fistula (disorder),disorder
152367,261410000,Direct anastomosis of pulmonary venous confluence to left atrium (procedure),procedure
152369,261412008,Structure of dorsal intracapsular fibrous rim (body structure),body structure
152370,261413003,Entire gallbladder fossa of liver (body structure),body structure
152371,261415005,Entire mesoappendix (body structure),body structure
152372,261416006,Entire rectovesical pouch (body structure),body structure
152373,261417002,Entire septal leaflet of tricuspid valve (body structure),body structure
152374,261419004,Structure of tonsillar node (body structure),body structure
152385,261433004,Entire mesentery of ascending colon (body structure),body structure
152388,261436007,Longitudinal digital incision (procedure),procedure
152389,261437003,Longitudinal palmar incision (procedure),procedure
152391,261439000,Open - laryngectomy incision (procedure),procedure
152392,261440003,Open - laryngofissure (procedure),procedure
152393,261441004,Palmar incision (procedure),procedure
152405,261456008,Transverse palmar incision (procedure),procedure
152423,261477006,Z palmar incision (procedure),procedure
152424,261479009,Mediastinoscopy (procedure),procedure
152426,261482004,Spinal arteriovenous malformation (disorder),disorder
152427,261483009,Anastomosis of both main bronchi to end of trachea (procedure),procedure
152428,261484003,Anastomosis of confluence and connecting vein to left atrium (procedure),procedure
152429,261485002,Anastomosis of pulmonary venous confluence to left atrium via connecting vein (procedure),procedure
152430,261486001,Anastomosis of left main bronchus to end of trachea (procedure),procedure
152431,261487005,Anastomosis of left main bronchus to right bronchus intermedius (procedure),procedure
152432,261488000,Anastomosis of left main bronchus to side of trachea (procedure),procedure
152433,261489008,Anastomosis of pulmonary venous confluence to connecting vein (procedure),procedure
152434,261490004,Anastomosis of right main bronchus to end of trachea (procedure),procedure
152435,261491000,Anastomosis of right main bronchus to side of trachea (procedure),procedure
152436,261492007,Anterolateral thoracotomy (procedure),procedure
152438,261494008,Banding of descending vein (procedure),procedure
152439,261495009,Banding of vertical vein (procedure),procedure
152442,261501006,Cervical puncture (procedure),procedure
152443,261502004,Choledochojejunostomy to Roux loop (procedure),procedure
152444,261503009,Circumferential suture of tendon (procedure),procedure
152449,261511004,Conversion from arthrodesis (procedure),procedure
152450,261512006,Cooling of intravenous fluid (procedure),procedure
152452,261515008,Creation of right to left atrial tunnel with roofing patch (procedure),procedure
152453,261517000,Silver bunionectomy (procedure),procedure
152455,261521007,Digital incision (procedure),procedure
152457,261528001,Entire mesentery of descending colon (body structure),body structure
152458,261529009,Excision of lash follicles (procedure),procedure
152459,261531000,Excision of rib (procedure),procedure
152460,261532007,Fenestrectomy (procedure),procedure
152464,261537001,Insertion of interatrial baffle (procedure),procedure
152465,261538006,Open intracoronary repair of coronary artery fistula (procedure),procedure
152466,261540001,Laminotomy (procedure),procedure
152467,261543004,Ligation of descending vein (procedure),procedure
152468,261544005,Ligation of vertical vein (procedure),procedure
152470,261546007,Open reduction of spinal dislocation (procedure),procedure
152472,261551001,Refashioning urinary stoma (procedure),procedure
152473,261552008,Ureteric reflux prevention procedure (procedure),procedure
